Gene,log2FC,pvalue
ATP6V1G2,0.695817693,1.11E-06
SEC31A,0.901807952,1.92E-63
CREB3,1.278595132,1.36E-33
MTURN,0.997311122,8.78E-36
TMED7,1.188064382,3.79E-95
PLOD3,1.06095341,4.77E-21
GOLGA2,0.849829443,9.02E-34
TRIM16,0.964417083,6.09E-40
DNAJC25,0.886075631,5.97E-11
S100A4,0.777274507,6.69E-09
NFXL1,0.666560524,2.62E-18
FAM174B,1.134167734,2.81E-30
MSTO1,1.054586008,4.28E-36
LARP1B,0.99951655,1.52E-35
NUS1,0.933063051,5.36E-61
TMEM243,1.143715296,3.36E-14
FAH,0.882751478,6.34E-21
TMED10,0.999588561,8.17E-130
SHC3,0.563802919,5.13E-09
AC068631.2,1.32532221,1.98E-24
RPL36AL,0.943539361,7.91E-25
SRP19,1.007919186,9.53E-51
ARF1,0.980863463,3.61E-82
PDXK,0.900723791,8.33E-40
SYTL1,0.98241735,1.02E-11
HCST,0.721108743,1.40E-05
BTN3A2,0.821993962,3.57E-21
TMEM263,0.922325772,3.83E-51
HBP1,1.069794439,1.88E-59
SF3B5,1.114110368,8.79E-56
RAB24,0.896003256,7.04E-12
MAGT1,1.305136836,8.28E-146
GORASP2,0.931926956,1.00E-68
SLC30A7,0.785528662,1.33E-35
DNAJC12,0.841642383,3.05E-19
SLC35B1,1.227857975,2.69E-61
TMED5,0.931319828,1.45E-79
DAD1,1.145526127,1.66E-81
SGK3,1.196789875,3.67E-20
AC008575.2,0.374767557,0.008578569
GOLPH3L,0.812264933,3.57E-38
CLIC1,1.070657061,3.12E-115
CALU,0.856377874,4.07E-63
GFPT1,0.557096173,1.71E-19
COPB2,0.689075074,5.29E-48
TXNDC15,1.032373815,6.32E-41
TXNDC11,1.026460071,1.50E-37
ARSA,1.066524165,3.19E-12
PAIP2B,0.95443605,2.40E-26
YIPF5,0.974002586,1.48E-29
DYRK4,0.871304599,1.30E-19
CALR,1.347870051,3.36E-228
ARCN1,0.671778418,9.11E-77
C14orf28,1.010257952,2.78E-08
SEC24C,0.637960522,1.32E-39
ERP44,1.026057481,3.14E-50
EDEM1,0.852198358,9.11E-65
YIF1B,1.162327712,1.04E-28
TCTA,0.679487579,3.00E-13
TVP23B,0.923775653,9.90E-26
PRRC1,0.691898907,8.89E-46
OS9,1.088813246,1.83E-94
KIAA0513,0.858235311,3.87E-07
HSD17B4,0.628035071,5.19E-29
GOLGA5,0.772469053,5.09E-20
DERL2,1.101416893,3.15E-49
EML2,0.766201137,9.78E-10
P2RX1,0.87060164,4.24E-10
FAM3C,0.85807853,9.87E-27
GABARAPL1,0.968119987,2.34E-13
CTSD,0.943424623,4.73E-14
FLNA,0.457862221,1.93E-09
FAM214B,0.724560824,8.43E-06
EFNA1,0.897214475,2.15E-11
FERMT3,0.689510557,1.50E-15
MCFD2,0.873343217,2.01E-69
TMEM106A,0.942047951,1.42E-09
ZBTB7B,0.456008629,0.006625962
OST4,0.922031127,2.56E-29
NUCB2,0.760156234,2.65E-36
CHI3L2,0.835878704,2.70E-65
RNF181,0.909272682,1.16E-29
CCNC,0.776485504,3.14E-23
CDC6,0.561916874,9.12E-31
IFI27L1,0.926276406,2.70E-14
NT5DC2,0.723356026,3.94E-25
MOGS,0.842491381,2.90E-17
NOMO2,0.683097109,1.31E-29
ARL1,0.884226499,1.09E-27
TMEM241,0.929491727,1.84E-14
TCEAL9,0.762303022,1.11E-15
SLC35C1,0.809404054,1.58E-16
ECI2,0.705103034,2.81E-28
STRA6,0.378950823,0.013463749
LIMK1,0.532599702,2.41E-09
SEC63,0.649111343,6.85E-23
SRP68,0.62531342,2.48E-47
COPA,0.587242752,4.85E-48
PDE10A,0.556822562,0.000319353
MIA3,0.53240412,3.28E-22
FZD2,0.852499292,9.43E-10
AACS,0.795918596,5.15E-23
AC073896.1,0.880367673,1.23E-07
FTSJ1,0.790841356,7.02E-30
TRADD,1.115212137,1.15E-12
RAB1A,0.822389817,2.94E-64
C16orf58,0.86851099,1.22E-16
TBL2,0.907505845,5.91E-33
TMF1,0.563862134,1.60E-19
LAT,0.747820238,4.83E-23
FNDC3B,0.352529146,0.001284519
CTBS,0.799756824,1.03E-13
IDE,0.376576682,4.30E-13
TM9SF1,0.574442068,7.07E-08
MCEE,0.852459456,8.38E-08
AC138517.2,0.78623063,3.81E-05
SRP72,0.618700045,1.30E-33
BCKDHA,0.859402914,2.28E-15
SLFN11,0.564333657,4.18E-42
SEC22B,0.690739421,6.43E-35
PJA2,0.705987947,1.35E-41
ULBP2,0.949337914,2.28E-19
KRT2,0.358543036,0.030034293
SRM,0.622063178,3.88E-13
ZNF467,0.676546275,2.55E-09
PPP2R5B,0.900756261,1.92E-11
EDEM3,0.578313214,1.19E-28
TRANK1,-0.019919685,0.812230898
PLOD1,0.925014689,1.32E-23
DHDDS,0.575455384,7.64E-12
RGS14,0.852047547,1.02E-12
RRAS,0.861775261,2.18E-06
PNPLA8,0.810030411,1.16E-20
PPM1K,0.509278993,6.88E-10
CALCOCO1,0.665077594,3.70E-13
ACAD11,0.43338301,0.004596052
GPR155,0.792213404,3.91E-08
REXO2,0.686232624,1.65E-12
COPZ1,0.877161032,1.22E-59
IL26,0.327114984,0.038894295
S100A11,0.702581244,4.46E-16
TCAF2,0.569496178,0.000909573
CLSTN3,0.772439036,4.75E-17
MESDC2,0.732501679,4.20E-29
ZNF70,0.567489814,0.000129785
MTFP1,0.932655266,5.47E-19
SEC24A,0.418543097,5.07E-10
DNAJB4,0.463566793,0.000177914
C12orf57,0.955447305,1.53E-37
MTFR1,0.733009325,8.39E-14
SCFD1,0.769968447,2.48E-28
TM9SF3,0.578698435,9.63E-32
UBXN4,0.641738163,3.01E-52
ALOX5AP,0.692311145,2.23E-12
TCN2,0.486059449,0.001189491
THAP5,0.717733124,9.25E-33
SH3BGRL3,0.864541044,3.13E-32
ZKSCAN7,0.537276501,8.31E-07
ZNF526,0.573957037,3.79E-07
CD63,0.778804798,3.80E-27
CLCC1,0.677450267,2.73E-07
CHST15,0.300518578,0.010127249
POU2AF1,0.223118211,0.000319101
DPAGT1,0.684921212,7.00E-10
MPZ,0.502889618,0.00326451
TVP23C,0.385111998,0.018244478
SLC16A6,0.28860532,0.002861103
DOK4,0.424805926,0.006869322
DAP,0.590097049,9.94E-33
TRAF3IP2,1.195767102,3.59E-13
TRPV2,0.673227856,1.77E-11
CD79B,0.685000652,6.33E-06
SARAF,0.875725761,1.25E-77
TMEM205,0.915408212,8.37E-24
SLC6A9,0.457537634,0.007765567
UAP1,0.687970996,4.38E-18
SLC22A17,0.899889141,1.02E-08
TTC17,0.675469863,1.57E-42
SELENOF,0.809283158,2.04E-54
SHC1,0.650516467,1.97E-19
TMEM41B,0.930798449,5.17E-65
UGGT1,0.326512978,2.85E-07
XIAP,0.404267747,1.26E-09
SH2D2A,0.227828865,0.086469567
MORF4L2,0.674380449,6.32E-44
PLXNB3,0.685144558,0.000175852
ZSCAN5A,0.632276812,8.22E-07
C12orf10,0.616423961,2.87E-11
A1BG,0.90509644,2.75E-09
SLC7A11,0.356346079,2.80E-05
CPEB3,0.285347685,0.051927494
SEL1L,1.12537556,3.06E-134
KDELR1,0.736492792,1.11E-33
NUDT4P1,0.327596756,0.049909786
AC073610.3,0.721331686,1.50E-05
NUDT22,0.842818918,2.07E-08
LIPA,0.774269095,2.82E-30
SIDT2,0.624716448,7.57E-08
PRDX5,0.673682099,2.15E-31
OSBP,0.451109447,6.69E-17
LRRN1,0.394073806,0.000115055
PLEKHF1,0.769344992,2.70E-13
ATP8B2,0.615185224,1.97E-17
GNS,0.529273444,7.71E-13
SYT5,0.230070957,0.124696487
BORCS5,0.444986156,0.000582963
KRTCAP2,0.893781231,4.21E-33
ITM2A,0.578012252,7.12E-14
PBXIP1,0.617029852,2.22E-11
UFL1,0.560539518,1.12E-10
CCNYL1,0.580710268,1.52E-09
RNASET2,0.663944379,3.35E-07
VCP,0.576619161,2.88E-33
NKAIN1,0.498934255,0.002223853
ANXA6,0.965544629,5.42E-109
GOLGA3,0.304484801,0.000426185
TMEM198,0.80517682,9.68E-06
ATG13,0.584882117,1.61E-35
TMEM165,0.858083122,4.26E-32
TMC6,0.812483586,4.07E-14
PSME2,0.613011398,9.20E-17
MGAT1,0.742265705,7.47E-16
PGRMC2,0.614370661,2.73E-16
MAN1A2,0.671903742,1.08E-20
SLC38A5,0.502729668,2.45E-07
PROB1,0.313824144,0.039678058
ZNHIT1,0.981002771,6.63E-32
MAP1A,0.235986293,1.58E-05
GLIPR1,0.35336903,0.012374332
ANXA5,0.681010079,1.19E-50
COPB1,0.603089992,1.52E-42
CUTA,0.710995228,3.21E-25
MPV17L2,0.90971901,1.18E-13
TSC22D3,0.601249014,0.000210098
SLC30A5,0.650286142,2.52E-31
SLC31A1,0.578324681,1.98E-12
TIMP1,0.74649269,9.75E-21
MFSD9,0.583770774,1.32E-09
ABHD4,0.863478948,1.26E-07
CLCN5,0.424653734,6.66E-06
NPHP4,0.50395531,0.00014524
YIPF2,0.711692972,1.28E-11
FAT1,0.195184941,0.013103076
ZFAND2A,0.840297668,2.07E-15
CNN2,0.584161944,7.27E-18
GOSR2,0.587376602,2.10E-19
RAB6A,0.566735854,1.37E-37
MYADM,0.439843809,1.79E-05
SNX22,0.628662129,0.000144398
GPNMB,0.657926109,0.000238795
RAB39B,0.559368906,2.64E-12
VEGFB,0.508464845,5.23E-07
Z83844.1,0.263947172,0.028540019
UFSP2,0.557558426,2.13E-08
HLA-C,0.793608357,1.57E-25
TMUB2,0.718394179,1.30E-09
ADAM15,0.77556765,7.37E-09
HMGCS1,0.606323534,6.11E-28
RPS19BP1,0.735273962,1.51E-17
STT3B,0.619322544,1.48E-61
SLC52A2,0.915935266,4.56E-12
ARFIP2,0.722231245,1.28E-19
FADD,0.637161953,9.49E-15
SRP54,0.524917053,2.30E-26
KRT8,0.597416726,0.000857546
ZBED6CL,0.460824099,5.90E-05
TMX4,0.696797442,2.35E-21
TCEAL8,0.611559987,3.37E-20
PTPRE,0.536138884,3.57E-09
JMJD6,0.570059451,7.82E-13
PMM2,0.459892446,1.97E-10
FAM98A,0.424304786,1.49E-07
DDX49,0.649077735,7.77E-18
AKAP17A,0.490102566,3.80E-07
SLC25A42,0.791145527,5.08E-10
BET1L,0.543659395,2.32E-10
MCF2L,0.480609509,0.002526492
CNBD2,0.579817963,0.000768919
CD84,0.058365811,0.692139207
NME3,0.745834112,7.15E-06
TMEM179B,0.884303967,3.93E-18
NEU1,0.80406198,2.93E-36
RSU1,0.497940813,2.03E-19
CD7,0.632580004,1.47E-07
ROMO1,0.733737901,7.27E-13
CCDC186,0.233793964,0.000360089
PYCR1,0.70327675,1.52E-10
METTL7A,0.658727972,3.14E-17
IFI27L2,0.834059633,1.76E-09
GXYLT2,0.514408064,8.45E-14
CCPG1,0.597650713,4.56E-11
EAF2,0.834265871,8.03E-09
GOLGA4,0.233328866,0.015496166
SLC9A9,0.720003509,2.51E-05
GAB2,0.448309581,0.005297257
SUCO,0.479475465,4.68E-15
TMEM167A,0.481202358,5.51E-19
B4GALT7,0.864624667,6.14E-11
PKP1,0.036452966,0.805238992
C2CD2L,0.747813652,4.31E-11
TTC3,0.365647847,2.25E-11
TMEM208,0.852315027,3.87E-20
NKG7,0.660019186,4.01E-05
VMAC,0.716893083,8.46E-05
JMJD4,0.57144644,1.69E-05
PPOX,0.530381232,0.001290812
AP3D1,0.468291542,2.83E-09
CETN2,1.03672092,2.82E-26
ZNF233,0.721146644,4.15E-05
DNAJB5,0.670039039,1.41E-08
SFXN3,0.736055474,1.32E-08
FIS1,0.68518937,2.61E-19
LRRC34,0.173052806,0.309754302
EMC9,0.675445536,7.45E-10
TBX18,-0.015797021,0.92591351
C8orf82,0.516273364,0.000218402
RAB30,0.420427115,0.017192826
IL9R,0.185093004,0.182587115
BLOC1S5-TXNDC5,0.385247892,0.014306379
STX4,0.42686827,1.52E-05
SFXN5,0.324991916,0.013547357
TTLL7,0.580472051,9.26E-07
COQ8B,0.628581875,2.37E-06
PRMT2,0.647039221,4.30E-21
UBE2J1,0.455199799,1.58E-12
ZBTB8A,0.376502086,1.90E-05
IQSEC1,0.235144988,0.047155177
B3GNT9,0.282357833,0.106964819
ELK3,0.517425022,6.88E-06
MX2,0.431342216,5.88E-18
RGS16,0.582959212,2.51E-07
TRABD,0.703266852,4.59E-11
AC092718.3,0.420080461,0.014799046
PHPT1,0.846735481,1.22E-10
AC097637.1,0.492278441,0.00051531
ZNF552,0.448669587,0.001010638
P3H1,0.567182063,5.96E-09
WT1,0.210467472,0.03773062
ZNF660,0.316284342,0.037011273
SEC11A,0.701860301,5.32E-22
RHOQ,0.588886083,1.08E-15
BCKDHB,0.403483233,4.37E-05
CCDC134,0.419583337,0.002015203
OPTN,0.557979654,4.56E-08
COX14,0.789766933,3.04E-13
WDR13,0.614131403,2.04E-06
DEDD2,0.761057958,5.87E-12
YIF1A,0.85148399,1.08E-13
ATP6AP2,0.680689474,2.70E-29
NDUFAF3,0.610957078,2.03E-14
COQ10B,0.550403808,1.77E-12
AKR1A1,0.629546669,1.33E-18
IBTK,0.408089036,7.90E-13
SPON2,0.535746211,0.000884752
ZSWIM8,0.508071234,7.17E-06
HLA-G,0.478968819,0.000534401
DALRD3,0.631938748,2.35E-06
UBA5,0.46964617,3.64E-12
TPMT,0.650613239,4.74E-10
KCTD7,0.462407514,0.00049966
ARHGAP18,0.339957063,0.016207587
SRGN,0.589472689,2.38E-06
ABCF3,0.356526061,9.45E-05
PYCARD,0.484048767,0.003036699
NPIPB11,0.631904796,0.000409316
PINK1,0.402174019,0.007664042
CHRNB1,0.473995583,0.000262174
GANAB,0.456775139,2.26E-26
MYL6,0.723171739,8.47E-21
HSD17B14,0.432208606,0.006151401
TNIK,0.276375244,0.015168488
NLRP1,0.342534614,0.002306381
TCEAL3,0.343475905,0.004290846
KLHL28,0.279424335,0.000785244
FTL,0.621946086,1.55E-25
BOLA2B,0.563482083,4.43E-11
TMCO3,0.57564022,7.70E-14
ATP5G1,0.576872627,1.37E-14
ITM2C,0.646941938,2.75E-41
VASP,0.554630402,1.54E-09
RTCA,0.465691123,1.83E-10
ARFGAP1,0.533988104,9.06E-14
PLK3,0.352932046,0.018564816
HTATIP2,0.516876935,3.06E-07
HAX1,0.70086685,1.53E-29
SDF4,0.63357729,1.70E-15
LEPROT,0.548423053,7.33E-10
RHBDD3,0.678879467,1.59E-07
ANKRD42,0.443301629,0.001524899
WDR25,0.851635587,4.92E-10
SYT15,0.240753617,0.142990003
DHRS7,0.711214503,1.73E-13
MFSD1,0.658225097,8.56E-18
GLT8D1,0.593904599,2.94E-09
NOMO3,0.377797547,0.010146479
BBS9,0.787933742,1.13E-10
NUCB1,0.831917075,2.16E-17
TAX1BP1,0.618104614,1.41E-30
PJA1,0.41125613,3.49E-07
ASS1,0.42821167,0.001491941
GRN,0.766720031,1.63E-11
P3H4,0.378484183,0.002581074
ACBD3,0.40356294,6.32E-14
IMPAD1,0.436257967,3.96E-21
IFT27,0.773944866,3.42E-12
WDR5B,0.490167113,0.001255774
RNF113A,0.553190755,1.98E-09
CD55,0.463735559,1.17E-07
MTX1,0.595325978,1.44E-09
IMPDH1,0.438364665,2.63E-05
PGPEP1,0.317014475,2.44E-06
SIRT2,0.678598529,1.37E-18
ZBTB8OS,0.570423785,2.54E-07
ALG5,0.802784606,2.23E-20
TMEM63C,0.338357786,0.034560007
STX11,0.373476442,0.030720795
APBA1,0.279400822,0.021279803
ALKBH7,0.947343927,7.66E-13
MAGEH1,0.637168249,1.21E-10
AIFM2,0.347379902,0.048646369
SEPT1,0.384348869,1.86E-09
LGALS9B,0.503205515,0.004659876
DDIT3,1.477523227,2.13E-45
MRPS14,0.649526548,5.83E-13
PDE4DIP,0.386949253,4.19E-08
TRO,0.470223199,7.85E-07
DGKA,0.197996155,0.000521642
CD1C,0.302682285,8.71E-05
IDH3G,0.438912699,9.58E-09
ACO2,0.470396152,4.23E-17
EHD1,0.709979782,7.96E-14
AP003419.2,0.943311875,2.83E-07
CD8B,0.571239825,6.29E-34
SLC39A14,0.772595658,7.07E-51
SLC16A7,0.139732662,0.070601776
C19orf24,0.575492296,1.47E-06
KRT1,-0.061740957,0.606756487
SMIM4,0.464991666,0.000764062
RAB37,0.317598618,0.033294467
RUFY3,0.06115457,0.529712341
AHCYL2,0.3555884,0.001647646
COG6,0.561861631,4.32E-11
SGMS2,0.291236433,0.027097713
ADORA2A,0.825574078,1.65E-13
UVSSA,0.114957788,0.315342451
CYB561D2,0.66923614,5.42E-06
ALG14,0.392829299,0.003683789
MAGED2,0.610559944,2.56E-20
LENG9,0.557193607,0.001719236
PLD3,0.711766309,3.89E-11
SERF2,0.644560069,2.46E-20
CAPNS1,0.486812387,2.99E-23
INO80B,0.210876896,0.134764056
C15orf65,0.350650019,0.02898444
SERTAD3,0.763737275,2.13E-06
FOSB,0.415728547,0.012190262
YPEL4,0.306155945,0.075910294
SLC41A2,0.578820134,7.75E-06
ABHD10,0.442440133,1.12E-11
C19orf54,0.459893783,9.96E-06
GLRB,-0.03908947,0.817847345
GPR89A,0.541658214,3.29E-06
DOCK5,-0.006228821,0.947241689
MPG,0.808888301,6.55E-12
SCO2,0.597251354,0.000315429
SOCS3,0.534561857,0.000855363
KCNK12,0.359164908,0.016416108
TMED3,0.674701805,7.59E-20
NTMT1,0.454568154,2.42E-06
AP3S1,0.530066133,8.19E-14
TMSB4X,0.538208929,3.66E-11
DERL1,0.569732678,2.11E-30
IFT20,0.597772424,3.73E-07
ALDH16A1,0.393210103,0.000774932
WBP1,0.756418884,1.78E-12
FAM46C,0.476213018,1.92E-22
IKBIP,0.662532271,1.52E-14
BABAM1,0.523757534,4.60E-18
DBH,0.282798142,0.065201494
AARS,0.463334021,4.07E-22
AZI2,0.414310414,1.60E-10
CCDC69,0.317233124,3.28E-08
GAS7,-0.006618377,0.923214168
ABCG1,0.054490491,0.736351797
MOB3C,0.340424421,0.044644127
IGFBP6,0.343347936,0.050177415
STK11IP,0.304913745,0.025447674
AAED1,0.475047406,1.22E-06
MCUR1,0.375759131,7.16E-12
SERPINB9,0.204276047,0.003740054
KIFC3,0.177746883,0.300506445
ABCA1,0.105279006,0.210746472
CISD2,0.640699792,6.20E-15
TRAPPC4,0.500176352,1.39E-10
ERAP2,0.304019773,1.75E-07
TLN1,0.121606357,0.047555229
YKT6,0.500940383,5.58E-19
ERAP1,0.275081526,5.04E-05
GBF1,0.189145735,0.004821749
NOL3,0.558801565,0.001372338
FAU,0.572803181,5.77E-20
EXT1,0.475142485,1.48E-05
CIB1,0.695831424,1.13E-16
CSRNP1,0.375202105,0.00088515
BAD,0.627925601,4.23E-07
MAP2K3,0.388848983,2.58E-06
SLC39A11,0.719861057,3.71E-11
IL10RA,0.544821962,0.002743377
STAC3,0.366756954,0.014718482
PLP2,0.728906695,2.85E-23
HECTD3,0.375869801,0.000206254
ERCC5,0.055208382,0.667887415
GNL3,0.439849938,3.25E-16
ZNF630,0.616655868,0.000352066
ALG1,0.644988404,2.65E-10
AC073610.2,0.379384532,0.015681059
TRIM27,0.542917237,4.27E-17
GLT1D1,-0.029846754,0.819219991
ORMDL2,0.630635383,6.76E-11
C15orf38-AP3S2,0.538610941,9.17E-07
SLX1A,0.71448974,4.43E-09
SMDT1,0.578379736,1.99E-10
AP4B1,0.371556672,0.000216898
MXI1,0.408592185,1.36E-07
BTG2,0.614772234,1.28E-12
TCF25,0.458764863,1.02E-10
TBC1D16,0.088674454,0.406690322
HIP1,0.09187575,0.50601419
ACSS1,0.400935835,5.70E-07
PIGM,0.320350512,0.00046671
ZFPL1,0.507272868,3.77E-05
ZNF540,0.395636423,0.024353361
YME1L1,0.345164321,4.34E-18
RNASEH1,0.342343747,8.39E-06
SGSM3,0.603606,2.07E-08
ARMCX6,0.385987553,0.004618464
KCNAB2,0.237088698,0.001832924
RNF10,0.335415369,2.52E-12
GEMIN8,0.310245459,0.008868101
IDH2,0.347299831,5.10E-09
RAB42,0.175950274,0.295408738
PLEKHA8,0.255950175,0.00443791
DYRK3,0.195030661,0.087545627
ITGB2,0.426118784,7.76E-13
POMGNT2,0.557499078,1.73E-06
OXSM,0.428190295,8.92E-05
MRPL52,0.531983651,9.52E-10
SPRYD3,0.475351441,1.04E-05
RAC2,0.444768223,6.89E-13
DTWD2,0.253777223,0.003142269
CCDC159,0.568735127,0.001380549
RTN3,0.482029521,1.01E-37
COQ4,0.500558036,6.28E-06
SPCS1,0.60465695,2.77E-17
ARHGEF40,0.663157182,0.000329613
RPS6KC1,0.441326629,8.41E-05
GOLT1B,0.520111992,4.64E-13
PIR,0.392213739,0.003608971
ISCU,0.475559825,9.46E-13
ATXN1,0.411595354,0.016374912
MAP2K2,0.449725852,8.10E-09
CDR2,0.410863476,6.36E-12
ZNF622,0.435543205,4.87E-07
TRIM46,0.067421672,0.691428165
AC012254.2,0.386690125,0.007530026
NMRK1,0.354232718,0.047726441
PRR5,0.367834959,0.016552251
RSPH3,0.431457346,0.002945422
TRAPPC6A,0.724588665,2.60E-13
HEMK1,0.522789981,5.40E-05
ELOVL4,0.440337372,3.33E-28
GBA,0.533849828,1.72E-10
APCDD1,0.257424025,0.001410318
C17orf67,0.228851872,0.085235116
MYO9B,0.194916439,0.028411019
TMEM141,0.529094239,7.35E-05
CAMKK1,0.154840824,0.21973433
SLFN13,0.433924013,0.007246655
QSOX1,0.529997798,3.56E-06
ATP6V0D1,0.691996589,7.08E-30
CD3D,0.614376186,1.16E-20
PAGR1,0.516790452,5.77E-15
PIM1,0.302830803,0.00093306
HSD17B7,0.735388751,4.08E-11
MROH8,0.255302834,0.051423093
NDUFAF2,0.425764046,0.000119928
BCL9L,0.269728575,0.007199676
ABCB8,0.605751301,9.76E-08
HLA-F,0.766136796,1.28E-05
SLC39A13,0.59810217,0.000170584
LRSAM1,0.334105619,0.006193589
FADS3,0.431227594,0.010475082
LNP1,0.477530906,0.000214155
GNA15,0.14457866,0.026419839
CCDC167,0.820514039,3.65E-14
HIST1H2BN,0.337201551,0.057429068
